FilePath,ModificationKind,ChangeCount
impl/src/test/java/org/dukecon/DukeconServerApplicationSpec.groovy,A,3
impl/src/main/resources/application-release.properties,A,3
impl/src/test/java/org/dukecon/server/conference/adpater/heise/HeiseDataExtractorSpec.groovy,M,3
impl/src/test/java/org/dukecon/server/conference/JavalandDataProviderSpec.groovy,D,3
impl/src/test/java/org/dukecon/server/gui/page/KeycloakLoginPage.java,A,3
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseAudienceMapper.groovy,A,3
impl/src/main/java/org/dukecon/server/filter/Filters.groovy,R,3
impl/src/main/java/org/dukecon/server/adapter/ConferenceDataProvider.groovy,A,3
impl/src/main/resources/logback.properties,M,3
impl/src/test/java/org/dukecon/unit/SampleSpec.groovy,D,3
impl/src/test/java/org/dukecon/server/conference/adpater/doag/DoagSpeakerMapperSpec.groovy,A,3
impl/src/main/java/org/dukecon/server/core/CorsFilter.groovy,A,3
impl/src/main/java/org/dukecon/server/conference/ConferencesConfiguration.groovy,A,3
impl/src/main/java/org/dukecon/server/security/KeycloakConfigService.groovy,M,3
impl/src/main/java/org/dukecon/server/conference/YamlDateTimeConstructor.java,A,3
impl/src/test/java/org/dukecon/server/javaland/JavalandDataRemoteSpec.groovy,R,3
impl/src/main/resources/application-docker.properties,A,3
impl/src/main/java/org/dukecon/server/core/ServletInitializer.groovy,R,3
impl/src/test/resources/herbstcampus-2016/herbstcampus_2016_veranstaltungen_20160826.csv,A,3
api/src/main/java/org/dukecon/model/Styles.java,A,3
impl/src/main/resources/conferences.yml,A,3
impl/src/test/java/org/dukecon/server/javaland/JavalandDataProviderHealthIndicatorSpec.groovy,M,3
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseEventMapper.groovy,A,3
api/src/main/java/org/dukecon/model/TalkOld.java,D,3
impl/src/main/java/org/dukecon/server/business/MetaDataLookup.groovy,A,3
impl/src/main/java/org/dukecon/server/favorites/AbstractPreferencesService.groovy,R,3
impl/src/test/java/org/dukecon/server/gui/page/AbstractPage.java,M,3
impl/src/main/java/org/dukecon/server/javaland/JavalandDataRemote.groovy,R,3
impl/src/main/java/org/dukecon/server/javaland/JavalandDataProvider.groovy,R,3
api/src/main/java/org/dukecon/services/ResourceService.java,A,3
impl/src/test/java/org/dukecon/server/filter/FiltersRepositorySpec.groovy,R,3
api/src/main/resources/raml/dukecon.raml,D,3
impl/src/main/java/org/dukecon/server/adapter/WebResourceDataProviderHealthIndicator.groovy,A,3
api/src/docs/asciidoc/index.adoc,A,3
api/src/main/java/org/dukecon/services/ResourceService.java,M,3
impl/src/main/webapp/WEB-INF/conferences/apacheconeu2016.properties,A,3
impl/src/main/java/org/dukecon/server/conference/ConferenceDataProvider.groovy,A,3
impl/src/main/resources/banner.txt,A,3
impl/src/main/resources/application-integrationtest.properties,M,3
impl/src/main/java/org/dukecon/server/core/ServletCustomizer.groovy,R,3
impl/src/test/java/org/dukecon/server/favorite/FavoritesRepositorySpec.groovy,R,3
xvfb.sh,A,3
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseDataProvider.groovy,A,3
impl/src/test/java/org/dukecon/integration/DukeConServerApplicationTests.groovy,D,3
impl/src/test/java/org/dukecon/server/conference/JavalandDataRemoteSpec.groovy,A,3
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseEventTypeMapper.groovy,A,3
impl/src/main/resources/META-INF/flex/services-config.xml,M,3
impl/src/main/webapp/public/versions/dukecon_server-version.txt,A,3
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseDataExtractor.groovy,A,3
impl/src/main/java/org/dukecon/server/conference/JavalandDataRemote.groovy,A,3
