Author,ChangeCount,Path
Dirk Mahler,60,impl/src/main/java/org/dukecon/
Alexander Schwartz,39,impl/src/main/java/org/dukecon/
annam002,15,impl/src/main/java/org/dukecon/
Niko Köbler,10,impl/src/main/java/org/dukecon/
Niko Köbler,7,impl/src/main/java/org/dukecon/
Michal Harakal,2,impl/src/main/java/org/dukecon/
"Aschemann, Gerd",1,impl/src/main/java/org/dukecon/
Christofer Dutz,3,impl/src/main/resources/META-INF/flex/
Dirk Mahler,1,impl/src/main/resources/META-INF/flex/
Falk Sippach,1,impl/src/main/resources/META-INF/flex/
Falk Sippach,9,impl/src/main/resources/db/migration/
Gerd Aschemann,8,impl/src/main/resources/db/migration/
Alexander Schwartz,1,impl/src/main/resources/db/migration/
Dirk Mahler,56,impl/src/main/resources/herbstcampus-2016/images/
Falk Sippach,56,impl/src/main/resources/herbstcampus-2016/images/
Falk Sippach,4,impl/src/main/webapp/WEB-INF/conferences/
Christofer Dutz,3,impl/src/main/webapp/WEB-INF/conferences/
Dirk Mahler,3,impl/src/main/webapp/WEB-INF/conferences/
steffchep,1,impl/src/main/webapp/WEB-INF/conferences/
stephaniep,1,impl/src/main/webapp/WEB-INF/conferences/
Christofer Dutz,2,impl/src/main/webapp/WEB-INF/templates/
Dirk Mahler,1,impl/src/main/webapp/WEB-INF/templates/
Falk Sippach,1,impl/src/main/webapp/WEB-INF/templates/
Stephanie Peters,1,impl/src/main/webapp/WEB-INF/templates/
Christofer Dutz,52,impl/src/main/webapp/public/img/
Dirk Mahler,27,impl/src/main/webapp/public/img/
Gerd Aschemann,12,impl/src/main/webapp/public/img/
Gerd Aschemann,4,impl/src/main/webapp/public/versions/
Dirk Mahler,2,impl/src/main/webapp/public/versions/
Falk Sippach,211,impl/src/test/java/org/dukecon/
Gerd Aschemann,90,impl/src/test/java/org/dukecon/
Alexander Schwartz,79,impl/src/test/java/org/dukecon/
Dirk Mahler,23,impl/src/test/java/org/dukecon/
Christofer Dutz,10,impl/src/test/java/org/dukecon/
annam002,8,impl/src/test/java/org/dukecon/
Niko Köbler,2,impl/src/test/java/org/dukecon/
steffchep,1,impl/src/test/java/org/dukecon/
"Aschemann, Gerd",1,impl/src/test/java/org/dukecon/
