Author,ChangeCount,FilePath
Alexander Schwartz,2,impl/src/test/resources/arquillian.xml
Falk Sippach,1,impl/src/test/resources/arquillian.xml
Falk Sippach,5,impl/src/test/resources/conferences-test.yml
Dirk Mahler,1,impl/src/test/resources/conferences-test.yml
Falk Sippach,3,impl/src/test/resources/demotalks.json
Falk Sippach,6,impl/src/test/resources/javaland-2015.raw
Falk Sippach,5,impl/src/test/resources/javaland-2016.raw
Gerd Aschemann,1,impl/src/test/resources/javaland-2016.raw
Alexander Schwartz,1,impl/src/test/resources/javaland-2016.raw
Falk Sippach,3,impl/src/test/resources/javaland-2016.raw_community
Alexander Schwartz,1,impl/src/test/resources/javaland-2016.raw_community
Gerd Aschemann,1,impl/src/test/resources/javaland-2016.raw_community
Falk Sippach,2,impl/src/test/resources/javaland-speaker-2016.raw
Dirk Mahler,1,impl/src/test/resources/javaland-speaker-2016.raw
Gerd Aschemann,3,src/docs/asciidoc/images/level0-whitebox-architecture.puml
Dirk Mahler,1,src/docs/asciidoc/images/level0-whitebox-architecture.puml
Gerd Aschemann,4,api/src/main/resources/raml/dukecon.raml
Niko Köbler,2,api/src/main/resources/raml/dukecon.raml
Falk Sippach,1,api/src/main/resources/raml/dukecon.raml
Gerd Aschemann,3,api/src/main/resources/raml/meta_example.json
Falk Sippach,1,api/src/main/resources/raml/meta_example.json
Niko Köbler,1,api/src/main/resources/raml/meta_example.json
Gerd Aschemann,4,api/src/main/resources/raml/meta_schema.json
Niko Köbler,2,api/src/main/resources/raml/meta_schema.json
Falk Sippach,1,api/src/main/resources/raml/meta_schema.json
Gerd Aschemann,3,api/src/main/resources/raml/talks_example.json
Falk Sippach,1,api/src/main/resources/raml/talks_example.json
Niko Köbler,1,api/src/main/resources/raml/talks_example.json
Gerd Aschemann,4,api/src/main/resources/raml/talks_schema.json
Niko Köbler,2,api/src/main/resources/raml/talks_schema.json
Falk Sippach,1,api/src/main/resources/raml/talks_schema.json
Dirk Mahler,1,impl/src/main/resources/herbstcampus-2016/herbstcampus_2016_veranstaltungen_20160826.csv
Falk Sippach,1,impl/src/main/resources/herbstcampus-2016/herbstcampus_2016_veranstaltungen_20160826.csv
Falk Sippach,2,impl/src/test/resources/herbstcampus-2016/herbstcampus_2016_veranstaltungen_20160826.csv
Dirk Mahler,1,impl/src/test/resources/herbstcampus-2016/herbstcampus_2016_veranstaltungen_20160826.csv
Falk Sippach,1,src/main/java/org/dukecon/DukeConServerApplication.groovy
Falk Sippach,1,src/main/java/org/dukecon/ServletInitializer.groovy
Falk Sippach,1,src/test/java/org/dukecon/DukeConServerApplicationTests.groovy
Falk Sippach,11,impl/src/main/java/org/dukecon/DukeConServerApplication.groovy
Gerd Aschemann,9,impl/src/main/java/org/dukecon/DukeConServerApplication.groovy
Christofer Dutz,4,impl/src/main/java/org/dukecon/DukeConServerApplication.groovy
Alexander Schwartz,2,impl/src/main/java/org/dukecon/DukeConServerApplication.groovy
Dirk Mahler,1,impl/src/main/java/org/dukecon/DukeConServerApplication.groovy
Niko Köbler,1,impl/src/main/java/org/dukecon/DukeConServerApplication.groovy
Gerd Aschemann,2,impl/src/main/java/org/dukecon/ServletInitializer.groovy
Christofer Dutz,3,impl/src/main/resources/META-INF/flex/services-config.xml
Dirk Mahler,1,impl/src/main/resources/META-INF/flex/services-config.xml
Falk Sippach,1,impl/src/main/resources/META-INF/flex/services-config.xml
Falk Sippach,4,impl/src/main/resources/db/migration/V1__init.sql
Gerd Aschemann,2,impl/src/main/resources/db/migration/V1__init.sql
Alexander Schwartz,1,impl/src/main/resources/db/migration/V1__init.sql
Dirk Mahler,1,impl/src/main/resources/herbstcampus-2016/images/5138_1.jpg
