File,WordsByFile
SampleSpec.groovy,"[[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\nMERGE"",""REQUEST"",""10"",""DUKECON/TALKCACHEINVALIDIERUNG\n\nTALK"",""CACHE"",""INVALIDIERUNGTESTS"",""TIDIED"",""UP\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\nCONFLICTS:\n\tIMPL/SRC/TEST/JAVA/ORG/DUKECON/INTEGRATION/DUKECONSERVERAPPLICATIONSPEC.GROOVY\nDIVIDE"",""SPOCK"",""UNIT"",""INTEGRATION"",""TESTS\nADDED"",""SPOCK"",""UNIT"",""TEST\n""]]"
5253_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nREFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
SchedJsonMapper.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nREFACTORING"",""DATAPROVIDER\nREFACTORING"",""DATA"",""LOADING"",""RE"",""ENABLING"",""HYSTRIX\nREFACTORING"",""RAW"",""DATA"",""RESOURCE"",""MANAGEMENT\nINTERMEDIATE"",""STATE"",""READING"",""CONFERENCE"",""RESOURCES"",""WORKING"",""JAVALAND"",""2016"",""2017\nINTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\n""]]"
README-selenium.md,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIANPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""]]"
HeiseDataExtractorSpec.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nREFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\nFIXED"",""TESTS\nINTERMEDIATE"",""STATE"",""REFACTORING"",""MULTITENANT"",""DATA"",""PROVIDER\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""]]"
5235_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nREFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
HerbstcampusDataExtractorSpec.groovy,"[[""FIXED"",""SPECIAL"",""DAY"",""HANDLING"",""WORKSHOP"",""DAY\nFIXED"",""SPEAKER"",""EVENT"",""ASSIGNMENT\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nFINISHED"",""HERBSTCAMPUS"",""DATA"",""MAPPING\nADDED"",""INTIAL"",""DATA"",""EXTRACTOR"",""HERBSTCAMPUS"",""CONFERENCE\n""]]"
5207_1.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nREFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""]]"
talk_example.json,"[[""FIRST"",""DRAFT"",""TALKS"",""API\n""]]"
LocalDateTimePropertyProxy.java,"[["""",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\n"",""MAJOR"",""REFACTORING\n""]]"
HerbstcampusLanguageMapper.groovy,"[[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nFINISHED"",""HERBSTCAMPUS"",""DATA"",""MAPPING\n""]]"
index.adoc,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nADD"",""GENERIC"",""ARCHITECTURE"",""DOCUMENTATION\nADD"",""GENERIC"",""ARCHITECTURE"",""DOCUMENTATION\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n"",""ADDED"",""BASIC"",""JQA"",""RULES"",""VISUALIZING"",""SPRING"",""COMPONENTS"",""DEPENDENCIES\nADDED"",""SWAGGER2MARKUP\n""]]"
versioneye.properties,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nADDED"",""VERSIONEYE"",""PROJECT"",""ID\nADDED"",""VERSIONEYE"",""PROJECT"",""ID\nADDED"",""VERSIONEYE"",""PROJECT"",""ID\n""]]"
HerbstcampusCsvInput.groovy,"[[""ENSURE"",""UTF"",""8"",""DATA"",""ARE"",""READ"",""RIGHT"",""ENCODING\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nFINISHED"",""HERBSTCAMPUS"",""DATA"",""MAPPING\n""]]"
ContextProvider.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIANPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN\n""]]"
HeiseLocationMapper.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""]]"
Audience.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n"",""REMOVED"",""BI"",""DIRECTIONAL"",""PROPERTIES\n"",""MOVED"",""METADATA"",""PROPERTIES"",""BACK"",""CONFERENCE\n"",""FINE"",""TUNED"",""MODEL"",""CLASSES\n"",""FINE"",""TUNED"",""SERIALIZATION"",""SERIALIZE"",""JAVA"",""LOCALDATETIME"",""OBJECTS"",""AS"",""ACTIONSCRIPT"",""DATE"",""OBJECTS\nADDED"",""CONFERENCE"",""PROPERTIES"",""ALMOST"",""ALL"",""MODEL"",""TYPES"",""FULL"",""MODEL"",""BOTH"",""RELATIONAL"",""DIRECTIONS\n"",""MAJOR"",""REFACTORING\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nADDED"",""ICONS"",""METADATA\nMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRINGCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING\nMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAREDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATAREMOVED"",""OBSOLETE"",""CODE"",""AFTER"",""REFACTORING"",""METADATA"",""LOOKUP\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATATALKS"",""REST"",""SERVICE"",""V2"",""META"",""DATA"",""REFERENCE\nREFACTORING"",""META"",""DATA"",""LOOKUP\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMETADATA"",""EXTRACTION\n""]]"
jl2017.properties,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nADD"",""STYLE"",""PROPERTIES"",""JL2017\n""]]"
application-production.properties,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nSWITCH"",""KEYCLOAK"",""URL"",""PRODUCTION\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nFIX:"",""PRODUCTION"",""NOW"",""USES"",""HTTPS"",""\nMERGE"",""RELEASE/1.1"",""DEVELOP\nADDED"",""PRODUCTION"",""KEYCLOAK"",""PARAMS\nMERGE"",""RELEASE/1.1"",""DEVELOP\nMOVED"",""CACHING"",""LOCATION"",""DOCKER"",""PROFILE\nNORMALIZED"",""ALL"",""SERVER.CONTEXTPATH"",""CONFERENCE.URL"",""DATA\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nMERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAGMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATAREFACTORING"",""META"",""DATA"",""EXTRACTION\nPREPARED"",""PRODUCTION\n""]]"
README.md,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nFIXED"",""DEPENDENCY"",""WARNINGS\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nUPDATED"",""VERSIONEYE"",""DEPENDENCY"",""BADGES\nTRANSLATED"",""ENGLISH"",""BE"",""CONSISTEND"",""OTHER"",""DOCUMENTATION\nALLOW"",""ADMINS"",""REFRESH"",""CACHE"",""BY"",""USING"",""SPECIAL"",""SECURED"",""URL"",""8\nREFACTORED"",""DIVIDE"",""BETWEEN"",""PROD"",""TEST"",""ENV"",""POSTGRESQL\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMERGE"",""REQUEST"",""34"",""AHUS1/DEVELOP\n\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLEADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE\nMERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATIONRENAMED"",""ROOM"",""LOCATION\nREST"",""SERVICE"",""USER"",""FILTERS"",""ADDED\nH2"",""DATABASE"",""WEB"",""CONSOLE"",""INTEGRATED\nFIXED"",""TRAVIS"",""LINKMERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""GERD"",""ASCHEMANN\n"",""VIA"",""GERD"",""ASCHEMANN\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""UPDATE"",""README.MD\n"",""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n"",""MAKE"",""VERSIONEYE"",""HAPPY\nUPDATE"",""README.MD\n\nADDED"",""LABEL"",""VERSIONEYE"",""STATUSADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\nMERGE"",""MASTER"",""APIASMVN\nINITIAL"",""BASIC"",""TRAVIS"",""FILE\n""]]"
Styles.java,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n"",""ADDED"",""ABILITY"",""READ"",""STYLE"",""INFORMATION"",""GIVEN"",""CONFERENCE"",""CONFERENCESERVICE\n"",""EXTENDED"",""CONFERENCE"",""REST"",""CONTROLLER"",""GENERATE"",""STYLES.CSS"",""RESOURCES"",""FLY\n""]]"
twitterhandles.csv,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nADDED"",""FULLYBOOKED"",""NUMBEROFFAVORITES"",""LOCATIONCAPACITY"",""MODEL\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nREFACTORING"",""SPEAKER"",""MAPPING\nADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\nJAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""FIX"",""GUI"",""TALKCELL"",""DEVELOP\nADDED"",""TWITTER"",""HANDLES\nMERGE"",""DEVELOP"",""FEATURE/TWITTER\nADDED"",""TWITTER"",""HANDLES\n""]]"
xvfb.sh,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nAVOID"",""MISLEADING"",""WARNING"",""MESSAGES"",""WHEN"",""STARTING"",""FIREFOX\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nENABLE"",""ERROR"",""LOGGING"",""XVFB"",""RUN\nMERGE"",""FIX"",""GUI"",""TALKCELL"",""DEVELOP\nSHOW"",""ALL"",""ENVIRONMENT"",""VARIABLES\nFIXING"",""SHEBANG"",""LINE\nUSE"",""JAVA"",""VERSION"",""PROVIDED"",""BY"",""JAVA"",""HOME\n"",""CHERRY"",""PICKED"",""COMMIT"",""1615B16"",""\nFIXING"",""SHEBANG"",""LINE\nUSE"",""JAVA"",""VERSION"",""PROVIDED"",""BY"",""JAVA"",""HOME\n"",""CHERRY"",""PICKED"",""COMMIT"",""1615B16"",""\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nUSING"",""XVFB"",""WRAPPER"",""HEADLESS"",""TESTING\n""]]"
KeycloakConfigService.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nAVOID"",""GROOVY"",""IDE"",""WARNING"",""PUBLIC"",""METHOD\nADD"",""USEACCOUNTMANAGEMENT"",""FLAG\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nREFACTORING"",""PACKAGE"",""STRUCTURE\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nADDED"",""KEYCLOAK"",""REDIRECTURI\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tIMPL/SRC/MAIN/JAVA/ORG/DUKECON/SERVER/SERVICE/ABSTRACTPREFERENCESSERVICE.GROOVY\nADDED"",""KEYCLOAK"",""CONFIGURATION"",""SERVICE\n""]]"
TalkType.java,"[[""MERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATIONMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRINGCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING\nMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAREDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATAREMOVED"",""OBSOLETE"",""CODE"",""AFTER"",""REFACTORING"",""METADATA"",""LOOKUP\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATATALKS"",""REST"",""SERVICE"",""V2"",""META"",""DATA"",""REFERENCE\nREFACTORING"",""META"",""DATA"",""LOOKUP\n""]]"
JavalandDataProvider.groovy,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nFIXED"",""COMPILE"",""TEST"",""ERRORS\nMERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nMERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""DEVELOP"",""FEATURE/MODULARIZE\nCREATE"",""INTERFACE"",""PROVIDING"",""CONFERENCE"",""DATA\nALLOW"",""ADMINS"",""REFRESH"",""CACHE"",""BY"",""USING"",""SPECIAL"",""SECURED"",""URL"",""8\nMERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nMERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAGMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\nMERGE"",""REQUEST"",""34"",""AHUS1/DEVELOP\n\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLEADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE\nREFACTORING"",""PACKAGE"",""STRUCTURE\nCALCULATING"",""PARTITION"",""EVENTS"",""CLOCK"",""SLICES"",""SERVER"",""SIDE"",""EVENT"",""SLICES"",""SLICEDEVENTS"",""AS"",""REST"",""SERVICE\nMERGE"",""REQUEST"",""26"",""DUKECON/METADATA\n\nRENAMED"",""ROOM"",""LOCATIONRENAMED"",""TALK"",""EVENT\nMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAREDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""REQUEST"",""16"",""DUKECON/METADATA\n\nMETADATAREFACTORING"",""METADATA"",""LOOKUP"",""TAKS"",""REST"",""SERVICE"",""V2\nMERGE"",""REQUEST"",""15"",""DUKECON/METADATA\n\nMETADATATALKS"",""REST"",""SERVICE"",""V2"",""META"",""DATA"",""REFERENCE\nREFACTORING"",""META"",""DATA"",""LOOKUP\nREFACTORING"",""META"",""DATA"",""EXTRACTION\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nMERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""METADATA\nREFACTORING/RENAMING"",""TALK"",""DATA"",""PROVIDER\n""]]"
TalkOld.java,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\nMERGE"",""REQUEST"",""35"",""AHUS1/PERSISTENT"",""CACHE\n\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAGMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nADDING"",""HYSTRIX"",""AS"",""CIRCUIT"",""BREAKER"",""WHEN"",""CALLING"",""DOAG"",""STORING"",""LATEST"",""SUCCESSFUL"",""RESPONSE"",""DISK"",""CLEANUP"",""TALKOLD.\nMERGE"",""REQUEST"",""19"",""DUKECON/METADATA\n\nCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRINGCHANGED"",""I18N"",""MESSAGE"",""KEY"",""LANGUAGE"",""STRING\nMERGE"",""REQUEST"",""17"",""DUKECON/METADATA\n\nMETADATAREDESIGNED"",""INTERNAL"",""DATA"",""MODEL\nNEW"",""UPDATED"",""REST"",""SERVICES"",""CONFERENCE"",""METADATA"",""TALKS"",""V2"",""\n""]]"
3.jpg,"[[""MERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\nMERGE"",""REMOTE"",""TRACKING"",""UPSTREAM/DEVELOP"",""DEVELOP\n\n"",""CONFLICTS:\n"",""\tPOM.XML\n"",""UPDATED"",""DIRECTORIES"",""EXTERNAL"",""IDS"",""ADDED"",""IMAGE"",""RESOURCES"",""JAVALAND"",""2017\n"",""UPDATED"",""DIRECTORIES"",""EXTERNAL"",""IDS"",""ADDED"",""IMAGE"",""RESOURCES"",""JAVALAND"",""2017\nMERGE"",""FEATURE/BLAZEDS"",""SERVER"",""DEVELOP\n"",""UPDATED"",""LANGUAGE"",""CONTAIN"",""WHAT"",""WAS"",""ID"",""PREVIOUSLY"",""NEW"",""FIELD"",""CODE"",""USE"",""NUMERIC"",""ID"",""NOW"",""ON.\n"",""UPDATED"",""RESOURCESERVICE"",""STRUCTURE"",""IMAGE"",""RESOURCES"",""DIFFERENTLY"",""SO"",""S"",""POSSIBLE"",""USE"",""DIFFERENT"",""IMAGES"",""EACH"",""CONFERENCE.\n"",""IMPLEMENTED"",""FLEX"",""RESOURCESERVICE"",""THAT"",""LOADS"",""CACHES"",""IMAGE"",""RESOURCES"",""LOCATION"",""LANGUAGES"",""STREAMS\n"",""IMPLEMENTED"",""WORKING"",""JAVA"",""RESOURCESERVICE"",""WHICH"",""PROVIDES"",""IMAGE"",""RESOURCES"",""BY"",""SCANNING"",""WAR"",""CONTENT\n"",""ADDED"",""IMAGE"",""RESOURCES"",""STREAMS"",""LANGUAGES.\n\nTHE"",""SERVER"",""SIDE"",""INTERMEDIATE"",""SOLUTION"",""UNTIL"",""GENERIC"",""WAY"",""HANDLE"",""PERSISTENCE"",""IMAGE"",""DATA"",""STORED"",""DB"",""WHATSOEVER"",""\n""]]"
javaland-2016.raw_community,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\nMERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\nMERGE"",""REQUEST"",""23"",""DUKECON/METADATA\n\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER"",""CONFERENCE"",""METADATA"",""CROSSLINKED"",""NEW"",""TESTDATA"",""COMMUNITY"",""EVENTSMERGED\nBUGFIX"",""TALKS"",""WITHOUT"",""SPEAKER\nCONFERENCE"",""METADATA"",""CROSSLINKED\nNEW"",""TESTDATA"",""COMMUNITY"",""EVENTS\n""]]"
HerbstcampusDataExtractor.groovy,"[[""MERGE"",""DEVELOP"",""CONFERENCE"",""ADAPTER"",""MULTITENANT\nBIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\nMERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\nFINISHED"",""HERBSTCAMPUS"",""DATA"",""MAPPING\nADDED"",""INTIAL"",""DATA"",""EXTRACTOR"",""HERBSTCAMPUS"",""CONFERENCE\n""]]"
